지역명,주택정보,주택형,공급호수(당첨자),모집인원(예비자),신청건수,주소,위도,경도,서대문역 5번출구 직선거리(km),당첨 경쟁률,예비 포함 경쟁률,당첨확률(단순),예비포함 가능권(단순)
서울특별시 중랑구,중랑중화동(화인하우스),80㎡ 이상,3,12,511,"서울특별시 중랑구 동일로126길 53(중화동,화인하우스2)",37.59885285,127.08324165,10.91,170.33:1,34.07:1,0.59%,2.94%
서울특별시 중랑구,중랑묵동(미소드림빌),70~80㎡,1,4,169,"서울특별시 중랑구 공릉로14길 31(묵동,미소드림빌)",37.6178161,127.0809206,11.61,169.00:1,33.80:1,0.59%,2.96%
서울특별시 중랑구,중랑묵동(파크스위트),70~80㎡,1,4,169,"서울특별시 중랑구 동일로157길 48(묵동,파크스위트) 파크스위트 101동",37.610066,127.0749116,10.74,169.00:1,33.80:1,0.59%,2.96%
서울특별시 중랑구,중랑망우동(현진스위트빌),70~80㎡,1,4,143,"서울특별시 중랑구 용마산로 513(망우동,현진스위트빌) 현진스위트빌",37.5968261,127.0999824,12.25,143.00:1,28.60:1,0.70%,3.50%
서울특별시 노원구,노원상계동(시온아트빌),60㎡ 미만,1,4,137,"서울특별시 노원구 한글비석로24마길 20(상계동,시온아트빌) 시온아트빌",37.6637564,127.0729702,14.37,137.00:1,27.40:1,0.73%,3.65%
서울특별시 노원구,노원상계동(시온아트빌),60~70㎡,1,4,125,"서울특별시 노원구 한글비석로24마길 20(상계동,시온아트빌) 시온아트빌",37.6637564,127.0729702,14.37,125.00:1,25.00:1,0.80%,4.00%
서울특별시 중랑구,중랑면목동(클래시하우스6차),60~70㎡,2,8,238,"서울특별시 중랑구 겸재로 73-9(면목동,클래시하우스 6차)",37.5862097,127.0758108,9.88,119.00:1,23.80:1,0.84%,4.20%
서울특별시 도봉구,도봉쌍문동(위드139),60㎡ 미만,1,4,105,서울특별시 도봉구 도봉로139길 42-20(쌍문동) 위드139,37.66146065,127.03945275000001,12.42,105.00:1,21.00:1,0.95%,4.76%
서울특별시 도봉구,도봉쌍문동(위드139),60~70㎡,1,4,103,서울특별시 도봉구 도봉로139길 42-20(쌍문동) 위드139,37.66146065,127.03945275000001,12.42,103.00:1,20.60:1,0.97%,4.85%
서울특별시 노원구,노원상계동(시온빌라트),60㎡ 미만,1,4,101,서울특별시 노원구 동일로237라길 19(상계동) 시온빌라트,37.6741933,127.0520811,14.21,101.00:1,20.20:1,0.99%,4.95%
서울특별시 노원구,노원상계동(양지쉐르빌),60㎡ 미만,1,4,83,서울특별시 노원구 동일로230나길 37(상계동) 양지쉐르빌,37.6731409,127.0574331,14.37,83.00:1,16.60:1,1.20%,6.02%
서울특별시 노원구,노원상계동(시온빌리지),60~70㎡,1,4,79,"서울특별시 노원구 동일로237라길 23(상계동,시온빌리지) 시온빌리지",37.6743906,127.0521099,14.23,79.00:1,15.80:1,1.27%,6.33%
서울특별시 노원구,노원상계동(시온빌라트),70~80㎡,1,4,76,서울특별시 노원구 동일로237라길 19(상계동) 시온빌라트,37.6741933,127.0520811,14.21,76.00:1,15.20:1,1.32%,6.58%
서울특별시 노원구,노원상계동(시온빌리지),80㎡ 이상,1,4,75,"서울특별시 노원구 동일로237라길 23(상계동,시온빌리지) 시온빌리지",37.6743906,127.0521099,14.23,75.00:1,15.00:1,1.33%,6.67%
서울특별시 노원구,노원상계동(시온빌리지),70~80㎡,2,8,109,"서울특별시 노원구 동일로237라길 23(상계동,시온빌리지) 시온빌리지",37.6743906,127.0521099,14.23,54.50:1,10.90:1,1.83%,9.17%
서울특별시 도봉구,도봉창동(미래하이츠),80㎡ 이상,10,40,363,서울특별시 도봉구 덕릉로53길 48(창동),37.6394387,127.0353439,10.18,36.30:1,7.26:1,2.75%,13.77%
서울특별시 도봉구,도봉창동(미래하이츠),60㎡ 미만,30,120,922,서울특별시 도봉구 덕릉로53길 48(창동),37.6394387,127.0353439,10.18,30.73:1,6.15:1,3.25%,16.27%
