지역명,주택정보,주택형,공급호수(당첨자),모집인원(예비자),신청건수,주소,위도,경도,서대문역 5번출구 직선거리(km),당첨 경쟁률,예비 포함 경쟁률,당첨확률(단순),예비포함 가능권(단순)
경기도 김포시,김포시 마산동(에일린의뜰),80㎡ 이상,1,3,406,"경기도 김포시 김포한강8로 281(마산동,한강신도시레이크에일린의뜰)",37.6439058,126.6377132,30.25,406.00:1,101.50:1,0.25%,0.99%
경기도 의정부시,의정부시 민락동(민락아크로빌),70~80㎡,3,9,227,"경기도 의정부시 승지로19번길 11-6(민락동,민락아크로빌(A동))",37.7383465,127.0914996,22.11,75.67:1,18.92:1,1.32%,5.29%
경기도 남양주시,남양주시 다산동(더클래스 동진),70~80㎡,47,141,"3,438",경기도 남양주시 다산중앙로123번길 22-43(다산동) 더 클래스 동진,37.6245485,127.1472571,17.20,73.15:1,18.29:1,1.37%,5.47%
경기도 의정부시,의정부시 신곡동(라온빌),60~70㎡,2,6,146,"경기도 의정부시 금신로296번길 33(신곡동,라온빌)",37.7453483,127.0647616,21.76,73.00:1,18.25:1,1.37%,5.48%
경기도 의정부시,의정부시 가능동(성훈팰리스),60~70㎡,2,6,137,"경기도 의정부시 평화로 681(가능동,성훈팰리스)",37.7526977,127.0434862,21.86,68.50:1,17.12:1,1.46%,5.84%
경기도 파주시,파주시 와동동(운정서영더엘),70~80㎡,27,81,469,경기도 파주시 가람로134번길 57(와동동) 운정서영더엘,37.7357369,126.7663415,25.85,17.37:1,4.34:1,5.76%,23.03%
경기도 고양시,고양시 백석동(네스트168),70~80㎡,50,150,805,경기도 고양시 일산동구 경의로 29(백석동) NEST168(백석동 1316-2),37.6387063,126.7900376,17.55,16.10:1,4.03:1,6.21%,24.84%
경기도 고양시,고양시 대화동(계림웨스트벨리),80㎡ 이상,14,42,190,경기도 고양시 일산서구 강성로 231(대화동) 계림웨스트벨리,37.6754431,126.7509819,22.57,13.57:1,3.39:1,7.37%,29.47%
경기도 고양시,고양시 백석동(네스트168),80㎡ 이상,118,354,"1,153",경기도 고양시 일산동구 경의로 29(백석동) NEST168(백석동 1316-2),37.6387063,126.7900376,17.55,9.77:1,2.44:1,10.23%,40.94%
